tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
233,2020-05-09 11:54:48.6040,2020-05-09 11:58:41.9990,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3267,Morris Canal,40.7124188237569,-74.03852552175522,42287,Subscriber,1968,1
129,2020-05-09 11:57:14.9120,2020-05-09 11:59:23.9770,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42163,Subscriber,1983,1
146,2020-05-09 11:59:37.9180,2020-05-09 12:02:04.0650,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42163,Subscriber,1983,1
2124,2020-05-09 12:00:33.6160,2020-05-09 12:35:58.2720,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42507,Customer,1983,1
709,2020-05-09 12:02:04.7990,2020-05-09 12:13:54.6980,3199,Newport Pkwy,40.7287448,-74.0321082,3213,Van Vorst Park,40.71848892,-74.047726625,42365,Customer,1992,1
218,2020-05-09 12:02:14.2160,2020-05-09 12:05:52.4390,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3185,City Hall,40.7177325,-74.043845,42163,Subscriber,1983,1
860,2020-05-09 12:06:17.6030,2020-05-09 12:20:38.4460,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3185,City Hall,40.7177325,-74.043845,42259,Customer,1993,1
97,2020-05-09 12:06:21.8330,2020-05-09 12:07:58.9030,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42504,Subscriber,1968,1
652,2020-05-09 12:06:29.5040,2020-05-09 12:17:21.6740,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3185,City Hall,40.7177325,-74.043845,42123,Customer,1993,1
866,2020-05-09 12:06:34.8720,2020-05-09 12:21:01.2040,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3185,City Hall,40.7177325,-74.043845,42220,Customer,1990,1
840,2020-05-09 12:06:37.4540,2020-05-09 12:20:38.3300,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3185,City Hall,40.7177325,-74.043845,42237,Customer,1992,1
822,2020-05-09 12:06:57.6780,2020-05-09 12:20:39.8730,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3185,City Hall,40.7177325,-74.043845,42429,Customer,1994,1
813,2020-05-09 12:07:26.7110,2020-05-09 12:21:00.3370,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3185,City Hall,40.7177325,-74.043845,42423,Customer,1992,1
801,2020-05-09 12:07:29.9200,2020-05-09 12:20:51.2270,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3185,City Hall,40.7177325,-74.043845,42486,Customer,1994,2
1162,2020-05-09 12:07:31.5280,2020-05-09 12:26:54.3900,3267,Morris Canal,40.7124188237569,-74.03852552175522,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,42503,Subscriber,1977,2
1386,2020-05-09 12:07:54.7610,2020-05-09 12:31:01.0120,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3199,Newport Pkwy,40.7287448,-74.0321082,42636,Customer,1969,0
2886,2020-05-09 12:11:58.7050,2020-05-09 13:00:04.9230,3192,Liberty Light Rail,40.7112423,-74.0557013,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,40063,Subscriber,1993,2
336,2020-05-09 12:12:26.3880,2020-05-09 12:18:02.7560,3679,Bergen Ave,40.722103786686034,-74.07145500183105,3195,Sip Ave,40.73089709786179,-74.06391263008118,42137,Subscriber,1999,1
1137,2020-05-09 12:13:30.3290,2020-05-09 12:32:28.0440,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3193,Lincoln Park,40.7246050998869,-74.07840594649315,27504,Subscriber,1969,2
1020,2020-05-09 12:15:13.1380,2020-05-09 12:32:13.8870,3191,Union St,40.7182113,-74.0836394,3195,Sip Ave,40.73089709786179,-74.06391263008118,42573,Subscriber,1977,1
897,2020-05-09 12:18:45.9280,2020-05-09 12:33:43.4510,3694,Jackson Square,40.71113,-74.0789,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42141,Customer,1971,1
2931,2020-05-09 12:23:14.3740,2020-05-09 13:12:05.5180,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42233,Subscriber,1996,1
426,2020-05-09 12:23:53.9650,2020-05-09 12:31:00.6260,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,3202,Newport PATH,40.7272235,-74.0337589,42314,Customer,1988,1
1068,2020-05-09 12:24:06.6300,2020-05-09 12:41:55.2370,3192,Liberty Light Rail,40.7112423,-74.0557013,3202,Newport PATH,40.7272235,-74.0337589,42273,Subscriber,1994,2
524,2020-05-09 12:24:19.2870,2020-05-09 12:33:04.0140,3199,Newport Pkwy,40.7287448,-74.0321082,3214,Essex Light Rail,40.7127742,-74.0364857,42613,Subscriber,1991,1
775,2020-05-09 12:25:11.5900,2020-05-09 12:38:06.7630,3213,Van Vorst Park,40.71848892,-74.047726625,3638,Washington St,40.7242941,-74.0354826,42215,Subscriber,1988,2
199,2020-05-09 12:26:31.5270,2020-05-09 12:29:50.5540,3638,Washington St,40.7242941,-74.0354826,3275,Columbus Drive,40.71835519823214,-74.03891444206238,28210,Subscriber,1989,1
402,2020-05-09 12:28:20.1060,2020-05-09 12:35:02.2120,3213,Van Vorst Park,40.71848892,-74.047726625,3267,Morris Canal,40.7124188237569,-74.03852552175522,42414,Subscriber,1986,2
4204,2020-05-09 12:30:46.8270,2020-05-09 13:40:50.8530,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3198,Heights Elevator,40.74871594538023,-74.04044330120087,42269,Customer,1989,1
1296,2020-05-09 12:33:20.2050,2020-05-09 12:54:56.5040,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3638,Washington St,40.7242941,-74.0354826,42422,Subscriber,1989,1
1881,2020-05-09 12:34:52.6360,2020-05-09 13:06:14.3060,3206,Hilltop,40.7311689,-74.0575736,3212,Christ Hospital,40.734785818,-74.050443636,42372,Customer,1969,0
981,2020-05-09 12:36:17.4100,2020-05-09 12:52:38.7650,3194,McGinley Square,40.7253399253558,-74.06762212514877,3194,McGinley Square,40.7253399253558,-74.06762212514877,42326,Subscriber,1980,1
836,2020-05-09 12:36:39.3030,2020-05-09 12:50:35.3140,3206,Hilltop,40.7311689,-74.0575736,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42308,Subscriber,1985,1
1031,2020-05-09 12:37:29.9690,2020-05-09 12:54:41.1080,3694,Jackson Square,40.71113,-74.0789,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42254,Subscriber,1988,1
260,2020-05-09 12:39:02.9950,2020-05-09 12:43:23.2900,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958611647166,-74.04311746358871,41685,Subscriber,1980,2
393,2020-05-09 12:47:07.9130,2020-05-09 12:53:41.3040,3681,Grand St,40.71517767732029,-74.03768330812454,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42130,Customer,1982,1
296,2020-05-09 12:49:47.1720,2020-05-09 12:54:43.5090,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3639,Harborside,40.7192517,-74.034234,42401,Subscriber,1986,1
1506,2020-05-09 12:51:02.9910,2020-05-09 13:16:09.3920,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,42308,Subscriber,1985,1
506,2020-05-09 12:52:06.0820,2020-05-09 13:00:32.1650,3192,Liberty Light Rail,40.7112423,-74.0557013,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42327,Subscriber,1973,1
562,2020-05-09 12:53:56.6470,2020-05-09 13:03:19.1300,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,42195,Customer,1969,0
562,2020-05-09 12:54:00.6090,2020-05-09 13:03:22.6770,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,42374,Customer,1969,0
1784,2020-05-09 12:54:47.3680,2020-05-09 13:24:31.3790,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3211,Newark Ave,40.72152515,-74.046304543,42390,Subscriber,1968,1
2777,2020-05-09 12:58:26.3730,2020-05-09 13:44:44.0430,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42176,Customer,1969,0
2763,2020-05-09 12:58:33.7100,2020-05-09 13:44:36.9700,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42317,Customer,1969,0
1809,2020-05-09 13:00:26.5070,2020-05-09 13:30:35.9510,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3199,Newport Pkwy,40.7287448,-74.0321082,40063,Subscriber,1993,2
