tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
439,2020-05-14 12:37:58.8940,2020-05-14 12:45:18.7820,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42432,Subscriber,1977,2
171,2020-05-14 12:40:12.4060,2020-05-14 12:43:04.3130,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42192,Subscriber,1987,2
379,2020-05-14 12:40:13.3040,2020-05-14 12:46:32.9590,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3185,City Hall,40.7177325,-74.043845,42341,Subscriber,1987,2
1021,2020-05-14 12:44:18.6380,2020-05-14 13:01:20.5390,3201,Dey St,40.737711,-74.066921,3201,Dey St,40.737711,-74.066921,42278,Subscriber,1966,1
241,2020-05-14 12:45:16.6070,2020-05-14 12:49:18.4600,3184,Paulus Hook,40.7141454,-74.0335519,3481,York St,40.71649,-74.04105,42437,Subscriber,1991,1
555,2020-05-14 12:49:34.5390,2020-05-14 12:58:50.1520,3203,Hamilton Park,40.727595966,-74.044247311,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42325,Subscriber,1979,1
738,2020-05-14 12:52:34.8060,2020-05-14 13:04:52.9710,3192,Liberty Light Rail,40.7112423,-74.0557013,3187,Warren St,40.7211236,-74.03805095,42420,Subscriber,1987,1
578,2020-05-14 12:52:49.5490,2020-05-14 13:02:28.3960,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3681,Grand St,40.71517767732029,-74.03768330812454,42110,Subscriber,1987,2
1873,2020-05-14 12:53:16.9620,2020-05-14 13:24:30.0710,3638,Washington St,40.7242941,-74.0354826,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,42258,Subscriber,1977,2
509,2020-05-14 12:57:33.6500,2020-05-14 13:06:03.5710,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,42206,Subscriber,1992,1
2537,2020-05-14 12:59:23.0510,2020-05-14 13:41:40.1690,3213,Van Vorst Park,40.71848892,-74.047726625,3213,Van Vorst Park,40.71848892,-74.047726625,42482,Subscriber,1995,1
4391,2020-05-14 13:00:16.6590,2020-05-14 14:13:28.5580,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42362,Customer,1969,0
4389,2020-05-14 13:00:26.8830,2020-05-14 14:13:36.0800,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42396,Customer,1969,0
1508,2020-05-14 13:01:58.0410,2020-05-14 13:27:06.3330,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.7124188237569,-74.03852552175522,42111,Subscriber,1962,1
229,2020-05-14 13:04:55.8980,2020-05-14 13:08:44.9250,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3279,Dixon Mills,40.721630142638354,-74.04996782541275,43321,Subscriber,1987,2
1178,2020-05-14 13:08:30.5270,2020-05-14 13:28:09.3660,3213,Van Vorst Park,40.71848892,-74.047726625,3199,Newport Pkwy,40.7287448,-74.0321082,42417,Subscriber,1988,2
1290,2020-05-14 13:09:35.5460,2020-05-14 13:31:05.6430,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3192,Liberty Light Rail,40.7112423,-74.0557013,42538,Customer,1969,0
987,2020-05-14 13:09:52.2940,2020-05-14 13:26:19.3140,3694,Jackson Square,40.71113,-74.0789,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42288,Subscriber,1988,1
1259,2020-05-14 13:09:59.7970,2020-05-14 13:30:59.5170,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3192,Liberty Light Rail,40.7112423,-74.0557013,42578,Customer,1994,2
2287,2020-05-14 13:10:02.5110,2020-05-14 13:48:10.0490,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42166,Subscriber,1983,1
