tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
438,2020-11-04 17:23:07.7630,2020-11-04 17:30:26.2670,3195,Sip Ave,40.73089709786179,-74.06391263008118,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,43090,Subscriber,1994,2
247,2020-11-04 17:24:29.2000,2020-11-04 17:28:36.9010,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3209,Brunswick St,40.7241765,-74.0506564,46290,Subscriber,1991,2
1556,2020-11-04 17:25:19.1220,2020-11-04 17:51:15.6610,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,42140,Customer,1969,0
303,2020-11-04 17:25:33.7720,2020-11-04 17:30:37.0220,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73089709786179,-74.06391263008118,42617,Subscriber,1976,2
326,2020-11-04 17:26:17.7170,2020-11-04 17:31:44.1600,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,40517,Subscriber,1980,1
171,2020-11-04 17:28:32.4650,2020-11-04 17:31:23.8640,3211,Newark Ave,40.72152515,-74.046304543,3203,Hamilton Park,40.727595966,-74.044247311,44370,Subscriber,1991,1
465,2020-11-04 17:28:33.4160,2020-11-04 17:36:19.3330,3267,Morris Canal,40.7124188237569,-74.03852552175522,3273,Manila & 1st,40.72165072487999,-74.04288411140442,31503,Subscriber,1990,2
107,2020-11-04 17:29:32.0640,2020-11-04 17:31:19.4870,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44418,Subscriber,1963,1
433,2020-11-04 17:30:31.9470,2020-11-04 17:37:45.8080,3184,Paulus Hook,40.7141454,-74.0335519,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42242,Subscriber,1979,2
812,2020-11-04 17:32:57.0130,2020-11-04 17:46:29.1370,3214,Essex Light Rail,40.7127742,-74.0364857,3268,Lafayette Park,40.71346382669195,-74.06285852193832,47188,Subscriber,1991,1
586,2020-11-04 17:33:07.1830,2020-11-04 17:42:54.1200,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3209,Brunswick St,40.7241765,-74.0506564,42105,Subscriber,1969,0
642,2020-11-04 17:35:55.7800,2020-11-04 17:46:37.9990,3681,Grand St,40.71517767732029,-74.03768330812454,3203,Hamilton Park,40.727595966,-74.044247311,46539,Subscriber,1979,1
968,2020-11-04 17:36:06.4130,2020-11-04 17:52:14.9480,3202,Newport PATH,40.7272235,-74.0337589,3196,Riverview Park,40.7443187,-74.0439909,40475,Subscriber,1959,1
613,2020-11-04 17:36:53.7460,2020-11-04 17:47:07.6560,3199,Newport Pkwy,40.7287448,-74.0321082,3211,Newark Ave,40.72152515,-74.046304543,42219,Customer,1969,0
316,2020-11-04 17:38:21.3430,2020-11-04 17:43:38.2270,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42392,Subscriber,1978,1
414,2020-11-04 17:39:20.6280,2020-11-04 17:46:15.4530,3280,Astor Place,40.71928220070702,-74.07126188278198,3195,Sip Ave,40.73089709786179,-74.06391263008118,44419,Subscriber,1990,2
563,2020-11-04 17:39:54.1760,2020-11-04 17:49:17.1770,3210,Pershing Field,40.742677141,-74.051788633,3220,5 Corners Library,40.73496102000952,-74.0595030784607,40464,Subscriber,1987,1
301,2020-11-04 17:41:27.5320,2020-11-04 17:46:29.0630,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3186,Grove St PATH,40.71958611647166,-74.04311746358871,45647,Subscriber,1962,1
294,2020-11-04 17:41:32.6560,2020-11-04 17:46:27.1440,3639,Harborside,40.7192517,-74.034234,3186,Grove St PATH,40.71958611647166,-74.04311746358871,44424,Subscriber,1966,1
545,2020-11-04 17:43:54.7270,2020-11-04 17:53:00.5220,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3267,Morris Canal,40.7124188237569,-74.03852552175522,42153,Subscriber,1974,1
224,2020-11-04 17:44:15.5960,2020-11-04 17:47:59.6520,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3203,Hamilton Park,40.727595966,-74.044247311,47225,Subscriber,1986,1
842,2020-11-04 17:44:41.6660,2020-11-04 17:58:44.0850,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42609,Subscriber,1973,0
1690,2020-11-04 17:45:48.1230,2020-11-04 18:13:58.9670,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42176,Subscriber,1989,1
978,2020-11-04 17:47:42.0650,2020-11-04 18:04:00.5650,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3202,Newport PATH,40.7272235,-74.0337589,45726,Subscriber,1986,1
465,2020-11-04 17:48:45.8220,2020-11-04 17:56:31.3440,3202,Newport PATH,40.7272235,-74.0337589,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,16065,Subscriber,1986,1
474,2020-11-04 17:49:22.4220,2020-11-04 17:57:17.2530,3195,Sip Ave,40.73089709786179,-74.06391263008118,3193,Lincoln Park,40.7246050998869,-74.07840594649315,42552,Subscriber,1983,1
283,2020-11-04 17:50:08.6610,2020-11-04 17:54:52.3970,3195,Sip Ave,40.73089709786179,-74.06391263008118,3679,Bergen Ave,40.722103786686034,-74.07145500183105,44419,Subscriber,1990,2
417,2020-11-04 17:50:26.6320,2020-11-04 17:57:23.8520,3212,Christ Hospital,40.734785818,-74.050443636,3220,5 Corners Library,40.73496102000952,-74.0595030784607,44434,Customer,1996,1
145,2020-11-04 17:50:56.8830,2020-11-04 17:53:22.6270,3209,Brunswick St,40.7241765,-74.0506564,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,44968,Subscriber,1964,1
737,2020-11-04 17:51:21.6570,2020-11-04 18:03:39.0340,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,42392,Subscriber,1984,1
211,2020-11-04 17:51:42.8610,2020-11-04 17:55:13.8820,3481,York St,40.71649,-74.04105,3186,Grove St PATH,40.71958611647166,-74.04311746358871,44392,Subscriber,1954,2
273,2020-11-04 17:52:29.3200,2020-11-04 17:57:03.2370,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42382,Subscriber,1990,1
653,2020-11-04 17:53:18.7000,2020-11-04 18:04:12.6810,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,45873,Customer,1993,1
605,2020-11-04 17:53:18.9880,2020-11-04 18:03:24.0520,3203,Hamilton Park,40.727595966,-74.044247311,3185,City Hall,40.7177325,-74.043845,42825,Customer,1969,0
1387,2020-11-04 17:54:08.2210,2020-11-04 18:17:15.3880,3199,Newport Pkwy,40.7287448,-74.0321082,3210,Pershing Field,40.742677141,-74.051788633,20105,Subscriber,1991,1
595,2020-11-04 17:54:15.4320,2020-11-04 18:04:11.1850,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3192,Liberty Light Rail,40.7112423,-74.0557013,44424,Subscriber,1992,2
1040,2020-11-04 17:54:18.9110,2020-11-04 18:11:39.6810,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,44683,Subscriber,1959,1
253,2020-11-04 17:54:42.1050,2020-11-04 17:58:55.3440,3203,Hamilton Park,40.727595966,-74.044247311,3211,Newark Ave,40.72152515,-74.046304543,43752,Subscriber,1987,1
244,2020-11-04 17:55:03.5730,2020-11-04 17:59:07.5730,3203,Hamilton Park,40.727595966,-74.044247311,3211,Newark Ave,40.72152515,-74.046304543,34038,Subscriber,1987,2
367,2020-11-04 17:55:43.9880,2020-11-04 18:01:51.2200,3199,Newport Pkwy,40.7287448,-74.0321082,3681,Grand St,40.71517767732029,-74.03768330812454,43499,Subscriber,1993,1
944,2020-11-04 17:56:23.4480,2020-11-04 18:12:07.9870,3639,Harborside,40.7192517,-74.034234,3192,Liberty Light Rail,40.7112423,-74.0557013,42194,Subscriber,1984,1
1827,2020-11-04 17:56:41.5550,2020-11-04 18:27:09.2900,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3199,Newport Pkwy,40.7287448,-74.0321082,20315,Subscriber,1970,1
322,2020-11-04 17:56:52.2340,2020-11-04 18:02:14.6530,3638,Washington St,40.7242941,-74.0354826,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,39433,Subscriber,1992,1
1826,2020-11-04 17:58:05.0980,2020-11-04 18:28:31.1370,3202,Newport PATH,40.7272235,-74.0337589,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,46538,Customer,1963,1
312,2020-11-04 17:58:15.8220,2020-11-04 18:03:27.8810,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,45234,Subscriber,1987,2
454,2020-11-04 17:58:22.7970,2020-11-04 18:05:56.8060,3203,Hamilton Park,40.727595966,-74.044247311,3638,Washington St,40.7242941,-74.0354826,46600,Subscriber,1991,1
364,2020-11-04 17:58:31.0800,2020-11-04 18:04:35.7150,3202,Newport PATH,40.7272235,-74.0337589,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,42303,Subscriber,1989,1
429,2020-11-04 17:58:47.7060,2020-11-04 18:05:56.9440,3203,Hamilton Park,40.727595966,-74.044247311,3638,Washington St,40.7242941,-74.0354826,46539,Subscriber,1991,2
1328,2020-11-04 17:59:43.8180,2020-11-04 18:21:52.2810,3638,Washington St,40.7242941,-74.0354826,3483,Montgomery St,40.71942,-74.05099,42485,Customer,1969,0
730,2020-11-04 17:59:56.7270,2020-11-04 18:12:07.4580,3280,Astor Place,40.71928220070702,-74.07126188278198,3203,Hamilton Park,40.727595966,-74.044247311,42448,Subscriber,1983,1
618,2020-11-04 17:59:56.9370,2020-11-04 18:10:15.9010,3280,Astor Place,40.71928220070702,-74.07126188278198,3213,Van Vorst Park,40.71848892,-74.047726625,43798,Subscriber,1969,1
291,2020-11-04 18:00:22.9220,2020-11-04 18:05:14.0570,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3203,Hamilton Park,40.727595966,-74.044247311,45225,Subscriber,1964,1
466,2020-11-04 18:00:29.4500,2020-11-04 18:08:16.2850,3195,Sip Ave,40.73089709786179,-74.06391263008118,3280,Astor Place,40.71928220070702,-74.07126188278198,42617,Subscriber,1986,2
370,2020-11-04 18:01:26.5150,2020-11-04 18:07:37.1000,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3267,Morris Canal,40.7124188237569,-74.03852552175522,44392,Subscriber,1990,2
