tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
737,2020-05-25 14:57:58.0140,2020-05-25 15:10:15.0240,3220,5 Corners Library,40.73496102000952,-74.0595030784607,3210,Pershing Field,40.742677141,-74.051788633,42272,Subscriber,1969,1
5643,2020-05-25 14:58:00.1240,2020-05-25 16:32:03.2600,3202,Newport PATH,40.7272235,-74.0337589,3202,Newport PATH,40.7272235,-74.0337589,42140,Customer,1992,2
5586,2020-05-25 14:58:16.3830,2020-05-25 16:31:22.9930,3202,Newport PATH,40.7272235,-74.0337589,3202,Newport PATH,40.7272235,-74.0337589,42235,Customer,1991,1
1159,2020-05-25 14:58:26.1600,2020-05-25 15:17:45.6690,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,42191,Customer,1971,2
1099,2020-05-25 14:58:52.8920,2020-05-25 15:17:12.0950,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,42171,Subscriber,1960,1
495,2020-05-25 14:58:59.2930,2020-05-25 15:07:15.1880,3211,Newark Ave,40.72152515,-74.046304543,3213,Van Vorst Park,40.71848892,-74.047726625,42427,Subscriber,1982,1
1585,2020-05-25 15:00:02.3240,2020-05-25 15:26:27.5210,3192,Liberty Light Rail,40.7112423,-74.0557013,3209,Brunswick St,40.7241765,-74.0506564,34305,Customer,1984,2
5650,2020-05-25 15:01:44.1240,2020-05-25 16:35:54.7190,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,38937,Customer,1969,0
4379,2020-05-25 15:01:47.1480,2020-05-25 16:14:46.6050,3211,Newark Ave,40.72152515,-74.046304543,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42256,Customer,1969,0
5626,2020-05-25 15:01:57.8850,2020-05-25 16:35:44.5190,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42132,Customer,1969,0
4352,2020-05-25 15:02:14.3610,2020-05-25 16:14:46.7600,3211,Newark Ave,40.72152515,-74.046304543,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,32139,Customer,1969,0
4335,2020-05-25 15:02:25.6350,2020-05-25 16:14:40.8310,3211,Newark Ave,40.72152515,-74.046304543,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42549,Customer,1969,0
1421,2020-05-25 15:02:38.0910,2020-05-25 15:26:19.2780,3192,Liberty Light Rail,40.7112423,-74.0557013,3209,Brunswick St,40.7241765,-74.0506564,42192,Customer,1986,1
305,2020-05-25 15:03:05.3420,2020-05-25 15:08:11.1800,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,41811,Subscriber,1959,1
265,2020-05-25 15:03:14.5600,2020-05-25 15:07:40.0100,3681,Grand St,40.71517767732029,-74.03768330812454,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42154,Subscriber,1962,1
1562,2020-05-25 15:03:26.9880,2020-05-25 15:29:29.5290,3187,Warren St,40.7211236,-74.03805095,3210,Pershing Field,40.742677141,-74.051788633,42457,Subscriber,1988,1
1732,2020-05-25 15:03:32.9570,2020-05-25 15:32:25.3430,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3193,Lincoln Park,40.7246050998869,-74.07840594649315,38355,Customer,1969,0
4278,2020-05-25 15:03:51.9460,2020-05-25 16:15:10.8080,3211,Newark Ave,40.72152515,-74.046304543,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42603,Customer,1969,0
8031,2020-05-25 15:04:40.2650,2020-05-25 17:18:31.6330,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,42201,Customer,1969,0
4665,2020-05-25 15:04:57.7670,2020-05-25 16:22:43.5900,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42361,Customer,1974,2
4324,2020-05-25 15:05:15.0410,2020-05-25 16:17:19.5350,3211,Newark Ave,40.72152515,-74.046304543,3211,Newark Ave,40.72152515,-74.046304543,42568,Customer,1969,0
1842,2020-05-25 15:05:15.8730,2020-05-25 15:35:58.4790,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3199,Newport Pkwy,40.7287448,-74.0321082,42468,Customer,1989,1
1487,2020-05-25 15:05:22.7550,2020-05-25 15:30:10.0670,3268,Lafayette Park,40.71346382669195,-74.06285852193832,3205,JC Medical Center,40.71653978099194,-74.0496379137039,38511,Subscriber,1992,1
4137,2020-05-25 15:05:39.3070,2020-05-25 16:14:37.2430,3211,Newark Ave,40.72152515,-74.046304543,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42433,Customer,1995,2
680,2020-05-25 15:06:11.6000,2020-05-25 15:17:31.7560,3280,Astor Place,40.71928220070702,-74.07126188278198,3195,Sip Ave,40.73089709786179,-74.06391263008118,42411,Subscriber,1953,2
1373,2020-05-25 15:06:36.7350,2020-05-25 15:29:29.9170,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3210,Pershing Field,40.742677141,-74.051788633,42359,Subscriber,1988,2
1675,2020-05-25 15:06:46.6150,2020-05-25 15:34:42.3970,3267,Morris Canal,40.7124188237569,-74.03852552175522,3202,Newport PATH,40.7272235,-74.0337589,33887,Customer,1978,2
582,2020-05-25 15:07:05.7460,2020-05-25 15:16:48.0600,3213,Van Vorst Park,40.71848892,-74.047726625,3681,Grand St,40.71517767732029,-74.03768330812454,42317,Subscriber,1987,1
7512,2020-05-25 15:07:48.2600,2020-05-25 17:13:01.0710,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.7287448,-74.0321082,42150,Customer,1969,0
509,2020-05-25 15:08:01.0990,2020-05-25 15:16:30.4980,3202,Newport PATH,40.7272235,-74.0337589,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42152,Subscriber,1989,1
543,2020-05-25 15:08:08.1320,2020-05-25 15:17:11.2830,3192,Liberty Light Rail,40.7112423,-74.0557013,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42474,Subscriber,1961,1
7452,2020-05-25 15:08:12.1970,2020-05-25 17:12:25.1090,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.7287448,-74.0321082,42451,Customer,1969,0
233,2020-05-25 15:08:12.5440,2020-05-25 15:12:05.9080,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3193,Lincoln Park,40.7246050998869,-74.07840594649315,40790,Customer,1969,0
1566,2020-05-25 15:08:41.9510,2020-05-25 15:34:48.2540,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3199,Newport Pkwy,40.7287448,-74.0321082,42304,Subscriber,1959,1
