tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
756,2020-11-01 00:11:32.6250,2020-11-01 00:24:09.5850,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42436,Subscriber,1984,1
584,2020-11-01 00:14:20.4820,2020-11-01 00:24:04.7820,3681,Grand St,40.71517767732029,-74.03768330812454,3209,Brunswick St,40.7241765,-74.0506564,46532,Customer,1969,0
403,2020-11-01 00:22:55.8820,2020-11-01 00:29:39.0950,3203,Hamilton Park,40.727595966,-74.044247311,3483,Montgomery St,40.71942,-74.05099,35139,Subscriber,1980,1
498,2020-11-01 00:41:37.4270,2020-11-01 00:49:55.7010,3268,Lafayette Park,40.71346382669195,-74.06285852193832,3213,Van Vorst Park,40.71848892,-74.047726625,46539,Customer,1969,0
151,2020-11-01 00:53:21.2340,2020-11-01 00:55:52.8060,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,44388,Subscriber,1986,1
6606,2020-11-01 01:04:13.5370,2020-11-01 02:54:19.9990,3679,Bergen Ave,40.722103786686034,-74.07145500183105,3679,Bergen Ave,40.722103786686034,-74.07145500183105,26139,Customer,1990,1
573,2020-11-01 01:08:02.0030,2020-11-01 01:17:35.7760,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,42277,Subscriber,1996,1
511,2020-11-01 01:08:57.6950,2020-11-01 01:17:29.4380,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,42194,Subscriber,1992,2
106,2020-11-01 01:09:22.9820,2020-11-01 01:11:09.4900,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,21500,Subscriber,1996,1
645,2020-11-01 01:11:27.9150,2020-11-01 01:22:13.4440,3206,Hilltop,40.7311689,-74.0575736,3187,Warren St,40.7211236,-74.03805095,42590,Customer,1969,0
533,2020-11-01 01:17:46.1040,2020-11-01 01:26:39.5220,3194,McGinley Square,40.7253399253558,-74.06762212514877,3694,Jackson Square,40.71113,-74.0789,42465,Subscriber,1969,1
345,2020-11-01 01:19:28.2370,2020-11-01 01:25:13.9740,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,45919,Subscriber,1987,1
361,2020-11-01 01:32:16.8990,2020-11-01 01:38:18.0630,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,47253,Subscriber,1973,2
272,2020-11-01 02:02:14.5860,2020-11-01 02:06:47.1950,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3203,Hamilton Park,40.727595966,-74.044247311,42308,Subscriber,1988,1
