tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
393,2020-05-19 17:38:08.0620,2020-05-19 17:44:41.4120,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42238,Subscriber,1956,1
2314,2020-05-19 17:38:21.2130,2020-05-19 18:16:55.6520,3185,City Hall,40.7177325,-74.043845,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42520,Subscriber,1977,1
218,2020-05-19 17:38:43.2640,2020-05-19 17:42:21.9620,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,42407,Subscriber,1960,1
564,2020-05-19 17:40:18.4060,2020-05-19 17:49:43.2680,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42377,Customer,1969,0
724,2020-05-19 17:41:02.7180,2020-05-19 17:53:07.1400,3267,Morris Canal,40.7124188237569,-74.03852552175522,3638,Washington St,40.7242941,-74.0354826,42474,Subscriber,1994,2
307,2020-05-19 17:41:04.4770,2020-05-19 17:46:11.8490,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42601,Subscriber,1986,1
156,2020-05-19 17:41:35.0940,2020-05-19 17:44:11.4970,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3187,Warren St,40.7211236,-74.03805095,42229,Subscriber,1949,1
406,2020-05-19 17:42:40.5720,2020-05-19 17:49:27.5500,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42579,Subscriber,1956,2
1889,2020-05-19 17:42:52.1550,2020-05-19 18:14:21.7270,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,42251,Subscriber,1984,2
1472,2020-05-19 17:43:21.9790,2020-05-19 18:07:54.3160,3206,Hilltop,40.7311689,-74.0575736,3192,Liberty Light Rail,40.7112423,-74.0557013,42516,Customer,1989,2
79,2020-05-19 17:43:44.5050,2020-05-19 17:45:03.8980,3187,Warren St,40.7211236,-74.03805095,3275,Columbus Drive,40.71835519823214,-74.03891444206238,32139,Subscriber,1983,1
1766,2020-05-19 17:44:03.0870,2020-05-19 18:13:29.1600,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42165,Customer,1994,1
