tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
250,2020-05-27 19:17:02.4590,2020-05-27 19:21:12.8610,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42576,Subscriber,1987,1
688,2020-05-27 19:17:18.6080,2020-05-27 19:28:47.2190,3213,Van Vorst Park,40.71848892,-74.047726625,3202,Newport PATH,40.7272235,-74.0337589,42404,Customer,2001,1
1017,2020-05-27 19:17:23.6470,2020-05-27 19:34:21.0980,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3187,Warren St,40.7211236,-74.03805095,42336,Subscriber,1972,1
669,2020-05-27 19:17:28.0460,2020-05-27 19:28:37.3450,3213,Van Vorst Park,40.71848892,-74.047726625,3202,Newport PATH,40.7272235,-74.0337589,42298,Customer,2002,1
213,2020-05-27 19:17:37.9920,2020-05-27 19:21:11.1330,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42348,Subscriber,1989,1
651,2020-05-27 19:17:49.0720,2020-05-27 19:28:40.1740,3213,Van Vorst Park,40.71848892,-74.047726625,3202,Newport PATH,40.7272235,-74.0337589,42354,Customer,2001,1
124,2020-05-27 19:18:31.9520,2020-05-27 19:20:36.8580,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42330,Subscriber,1988,1
1937,2020-05-27 19:20:13.6200,2020-05-27 19:52:31.0340,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42375,Customer,1969,0
1958,2020-05-27 19:20:24.9720,2020-05-27 19:53:03.8250,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42131,Customer,1969,0
2818,2020-05-27 19:20:30.9050,2020-05-27 20:07:29.8040,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42274,Subscriber,1991,2
2785,2020-05-27 19:20:51.9460,2020-05-27 20:07:17.5990,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42330,Subscriber,1988,1
202,2020-05-27 19:20:56.5170,2020-05-27 19:24:18.7220,3211,Newark Ave,40.72152515,-74.046304543,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42490,Subscriber,1989,1
2587,2020-05-27 19:21:18.4910,2020-05-27 20:04:25.9470,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42385,Customer,1969,0
2760,2020-05-27 19:21:30.5670,2020-05-27 20:07:31.2790,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42348,Subscriber,1989,1
2797,2020-05-27 19:21:40.5770,2020-05-27 20:08:18.4180,3192,Liberty Light Rail,40.7112423,-74.0557013,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42576,Subscriber,1987,1
473,2020-05-27 19:22:09.2470,2020-05-27 19:30:03.1290,3203,Hamilton Park,40.727595966,-74.044247311,3638,Washington St,40.7242941,-74.0354826,42254,Subscriber,1982,2
1360,2020-05-27 19:22:36.5580,2020-05-27 19:45:17.1210,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3202,Newport PATH,40.7272235,-74.0337589,28325,Customer,1993,2
339,2020-05-27 19:22:50.2970,2020-05-27 19:28:30.1610,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,42432,Subscriber,1967,1
192,2020-05-27 19:22:52.6440,2020-05-27 19:26:04.6570,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,42142,Subscriber,1991,1
1881,2020-05-27 19:23:24.6600,2020-05-27 19:54:46.0750,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3211,Newark Ave,40.72152515,-74.046304543,42166,Customer,1984,2
2528,2020-05-27 19:24:07.8650,2020-05-27 20:06:16.7580,3268,Lafayette Park,40.71346382669195,-74.06285852193832,3192,Liberty Light Rail,40.7112423,-74.0557013,42258,Subscriber,1971,1
2519,2020-05-27 19:24:35.1630,2020-05-27 20:06:34.7210,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42146,Customer,1996,2
2812,2020-05-27 19:24:55.8430,2020-05-27 20:11:48.7330,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42517,Subscriber,1989,1
89,2020-05-27 19:25:35.1980,2020-05-27 19:27:04.7830,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,42535,Subscriber,1960,1
3483,2020-05-27 19:26:17.9630,2020-05-27 20:24:21.6140,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,42409,Customer,1990,1
3472,2020-05-27 19:26:20.0870,2020-05-27 20:24:12.7030,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,42221,Customer,1989,1
2660,2020-05-27 19:26:29.7600,2020-05-27 20:10:50.1380,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42381,Customer,1995,2
