tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
505,2020-11-27 13:44:34.8890,2020-11-27 13:53:00.5340,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,46532,Customer,1998,1
1012,2020-11-27 13:46:52.4620,2020-11-27 14:03:45.3640,3199,Newport Pkwy,40.7287448,-74.0321082,3205,JC Medical Center,40.71653978099194,-74.0496379137039,44229,Subscriber,1995,2
446,2020-11-27 13:47:42.9760,2020-11-27 13:55:09.6390,3202,Newport PATH,40.7272235,-74.0337589,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,39433,Subscriber,1964,2
522,2020-11-27 13:50:02.5860,2020-11-27 13:58:45.4920,3213,Van Vorst Park,40.71848892,-74.047726625,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,40053,Subscriber,1988,2
6016,2020-11-27 13:51:33.5840,2020-11-27 15:31:50.2820,3213,Van Vorst Park,40.71848892,-74.047726625,3213,Van Vorst Park,40.71848892,-74.047726625,40756,Subscriber,1966,1
649,2020-11-27 13:52:12.7970,2020-11-27 14:03:02.5180,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42151,Subscriber,1984,2
1810,2020-11-27 13:55:06.9150,2020-11-27 14:25:17.0860,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,42133,Subscriber,1984,1
1909,2020-11-27 13:56:24.2820,2020-11-27 14:28:13.5710,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,44236,Customer,1977,1
367,2020-11-27 13:58:16.9660,2020-11-27 14:04:24.6710,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3195,Sip Ave,40.73089709786179,-74.06391263008118,45347,Subscriber,1970,1
541,2020-11-27 13:58:44.5330,2020-11-27 14:07:45.8050,3192,Liberty Light Rail,40.7112423,-74.0557013,3280,Astor Place,40.71928220070702,-74.07126188278198,47255,Customer,1993,1
122,2020-11-27 14:00:39.5480,2020-11-27 14:02:42.1270,3209,Brunswick St,40.7241765,-74.0506564,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,45231,Subscriber,1981,1
24955,2020-11-27 14:00:53.1880,2020-11-27 20:56:48.2950,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3483,Montgomery St,40.71942,-74.05099,42195,Customer,1988,2
1979,2020-11-27 14:02:33.4900,2020-11-27 14:35:32.5680,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3195,Sip Ave,40.73089709786179,-74.06391263008118,42242,Subscriber,1966,1
1458,2020-11-27 14:04:02.4510,2020-11-27 14:28:21.0950,3184,Paulus Hook,40.7141454,-74.0335519,3196,Riverview Park,40.7443187,-74.0439909,27945,Subscriber,1990,1
347,2020-11-27 14:04:53.0240,2020-11-27 14:10:40.2890,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3209,Brunswick St,40.7241765,-74.0506564,44492,Subscriber,1981,1
294,2020-11-27 14:05:09.4740,2020-11-27 14:10:04.2200,3203,Hamilton Park,40.727595966,-74.044247311,3638,Washington St,40.7242941,-74.0354826,45550,Subscriber,1998,1
205,2020-11-27 14:05:18.0170,2020-11-27 14:08:43.5410,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42311,Subscriber,2000,2
3107,2020-11-27 14:05:34.0050,2020-11-27 14:57:21.3270,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3205,JC Medical Center,40.71653978099194,-74.0496379137039,32095,Customer,1989,2
225,2020-11-27 14:06:02.8460,2020-11-27 14:09:48.5240,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42361,Subscriber,1972,1
230,2020-11-27 14:06:05.5560,2020-11-27 14:09:56.4260,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33887,Subscriber,1973,1
347,2020-11-27 14:06:08.9500,2020-11-27 14:11:56.3370,3681,Grand St,40.71517767732029,-74.03768330812454,3186,Grove St PATH,40.71958611647166,-74.04311746358871,38358,Subscriber,1979,1
547,2020-11-27 14:07:18.7940,2020-11-27 14:16:26.6860,3268,Lafayette Park,40.71346382669195,-74.06285852193832,3185,City Hall,40.7177325,-74.043845,40637,Subscriber,1991,1
745,2020-11-27 14:07:47.1420,2020-11-27 14:20:12.7870,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3214,Essex Light Rail,40.7127742,-74.0364857,46539,Subscriber,1991,1
