tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
349,2020-05-01 00:09:45.5860,2020-05-01 00:15:35.2930,3195,Sip Ave,40.73089709786179,-74.06391263008118,3280,Astor Place,40.71928220070702,-74.07126188278198,42581,Customer,1969,0
138,2020-05-01 01:11:22.5280,2020-05-01 01:13:41.2460,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,42105,Subscriber,1949,1
229,2020-05-01 05:31:29.5350,2020-05-01 05:35:19.2400,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42320,Customer,1984,1
261,2020-05-01 05:51:39.3960,2020-05-01 05:56:00.9370,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42170,Subscriber,1974,2
168,2020-05-01 06:06:31.9510,2020-05-01 06:09:20.1410,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73089709786179,-74.06391263008118,42352,Subscriber,1966,1
500,2020-05-01 06:17:58.4470,2020-05-01 06:26:19.1300,3209,Brunswick St,40.7241765,-74.0506564,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42208,Subscriber,1982,1
237,2020-05-01 06:33:42.0430,2020-05-01 06:37:39.5200,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3195,Sip Ave,40.73089709786179,-74.06391263008118,42507,Subscriber,1981,1
144,2020-05-01 06:36:47.9830,2020-05-01 06:39:12.5180,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42132,Subscriber,1970,1
2295,2020-05-01 06:38:16.9450,2020-05-01 07:16:31.9570,3267,Morris Canal,40.7124188237569,-74.03852552175522,3267,Morris Canal,40.7124188237569,-74.03852552175522,42400,Subscriber,1959,1
88,2020-05-01 06:41:03.8180,2020-05-01 06:42:32.7670,3211,Newark Ave,40.72152515,-74.046304543,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42114,Subscriber,1993,1
327,2020-05-01 06:42:31.6760,2020-05-01 06:47:58.7850,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,42121,Subscriber,1982,1
388,2020-05-01 06:44:49.9220,2020-05-01 06:51:18.1520,3203,Hamilton Park,40.727595966,-74.044247311,3185,City Hall,40.7177325,-74.043845,42422,Subscriber,1988,2
280,2020-05-01 07:01:10.0150,2020-05-01 07:05:50.6160,3639,Harborside,40.7192517,-74.034234,3267,Morris Canal,40.7124188237569,-74.03852552175522,42536,Subscriber,1962,2
370,2020-05-01 07:10:54.6220,2020-05-01 07:17:05.1960,3203,Hamilton Park,40.727595966,-74.044247311,3185,City Hall,40.7177325,-74.043845,42165,Subscriber,1970,2
2351,2020-05-01 07:16:59.4960,2020-05-01 07:56:11.3230,3267,Morris Canal,40.7124188237569,-74.03852552175522,3267,Morris Canal,40.7124188237569,-74.03852552175522,42400,Subscriber,1959,1
1135,2020-05-01 07:19:15.8050,2020-05-01 07:38:11.7560,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3191,Union St,40.7182113,-74.0836394,42295,Customer,1999,1
403,2020-05-01 07:28:43.9490,2020-05-01 07:35:27.4090,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42441,Subscriber,1979,1
1139,2020-05-01 07:37:41.2150,2020-05-01 07:56:40.8110,3267,Morris Canal,40.7124188237569,-74.03852552175522,3639,Harborside,40.7192517,-74.034234,42536,Subscriber,1962,2
346,2020-05-01 07:46:07.9230,2020-05-01 07:51:54.9050,3679,Bergen Ave,40.722103786686034,-74.07145500183105,3195,Sip Ave,40.73089709786179,-74.06391263008118,42535,Subscriber,1991,2
593,2020-05-01 07:55:50.6600,2020-05-01 08:05:44.3820,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3192,Liberty Light Rail,40.7112423,-74.0557013,42458,Subscriber,1985,1
351,2020-05-01 07:57:04.4080,2020-05-01 08:02:55.5730,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3187,Warren St,40.7211236,-74.03805095,38937,Subscriber,1990,1
632,2020-05-01 08:33:10.0790,2020-05-01 08:43:42.5260,3206,Hilltop,40.7311689,-74.0575736,3213,Van Vorst Park,40.71848892,-74.047726625,42467,Subscriber,1977,2
177,2020-05-01 08:40:19.8930,2020-05-01 08:43:17.1140,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3214,Essex Light Rail,40.7127742,-74.0364857,42407,Subscriber,1981,1
470,2020-05-01 08:46:04.8620,2020-05-01 08:53:55.5390,3199,Newport Pkwy,40.7287448,-74.0321082,3203,Hamilton Park,40.727595966,-74.044247311,42583,Subscriber,1981,1
333,2020-05-01 08:57:01.5670,2020-05-01 09:02:35.1660,3212,Christ Hospital,40.734785818,-74.050443636,3195,Sip Ave,40.73089709786179,-74.06391263008118,42182,Customer,1969,0
132,2020-05-01 09:48:13.7500,2020-05-01 09:50:26.5390,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.046304543,42346,Subscriber,1957,1
1327,2020-05-01 09:56:12.3300,2020-05-01 10:18:19.6780,3694,Jackson Square,40.71113,-74.0789,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42634,Subscriber,1960,1
1102,2020-05-01 09:59:13.9920,2020-05-01 10:17:36.2490,3220,5 Corners Library,40.73496102000952,-74.0595030784607,3211,Newark Ave,40.72152515,-74.046304543,42149,Customer,1998,1
243,2020-05-01 10:21:34.7070,2020-05-01 10:25:38.5040,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3211,Newark Ave,40.72152515,-74.046304543,42445,Subscriber,1982,2
1322,2020-05-01 10:26:44.5340,2020-05-01 10:48:47.1150,3206,Hilltop,40.7311689,-74.0575736,3639,Harborside,40.7192517,-74.034234,42615,Subscriber,1984,1
318,2020-05-01 10:38:34.7100,2020-05-01 10:43:52.8560,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42532,Subscriber,1988,1
329,2020-05-01 10:50:39.8320,2020-05-01 10:56:08.9050,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,42451,Subscriber,1949,1
987,2020-05-01 11:04:10.1770,2020-05-01 11:20:37.2980,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3198,Heights Elevator,40.74871594538023,-74.04044330120087,42377,Subscriber,1976,1
306,2020-05-01 11:09:00.7670,2020-05-01 11:14:06.7710,3638,Washington St,40.7242941,-74.0354826,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42300,Customer,1969,0
